Contract Address,Discord ID,Discord Display Name
0x69E708fD5F6cf1222fB9EE65583eFFAAD9719e1B,,Karthus#7972
0x289f0be9a9f53571787bCBF31638040B85930589,,emily_tt#5401
0xB41438134D92298f394Ccc59C4F740316E04E572,,Reliiq#4053
0x4043CEf518183Da26e8122fBDeCc0b70e8652515,,Thanh Thanh#9475
0xfE3846E26417B218d72260A67032CDfDB17b3E25,,Bunnybooboo#5703
0x3be2585e4408848EdA54A57A0EA8F20A075B56C2,,Dwaynieee#9479
0x182363111776C1abb66EddeE6906631566c1aC67,,khảinhi#5577
0x4B5F0eAbd5E03778e3d034CA2C8ceEe3301da505,,RAN#8183
0xa60B2cf807af6f670d39c6a1C16412d6Cf5e7148,,saki#3308
0x7eC9F1F7e5c1B6D8f395e2eE31B0B4e7360c8405,,DonPute#2944
0xb4B7AE521A1ab944fFb920F570345aA303d6ac1D,,Fame#3351
0x7DFf5990088b277545febE148e3d616Ac8d8c7F0,,HomeS#5495
0x616e662D822f683B65a67b56aD19F0F4dB87260a,,rGab#9324
0xD0C96ACa52b74d5bc851fE23681c1124341Baf4a,,auntie_leia#2491
0x023Cd4062b82Db1EEcC91Fe077Ec944d4b89384a,,frank nitti#0001
0x20090476C5A87e9325dc068255325222f9305237,,trevm00#1024
0x34f2231f1e998CA3D2A7803455cCd7f057E90554,,Sherlholmes#6667
0x54C27157A52e60f3B0fF8eD00Bee9368863C5b80,,Yumiya#4670
0xC25d57D9a72602e29f397a1D33A47519B4C1941a,,iamGabbyCutie#6662
0x6443B4411450A03700251e8CB680aadf292cDc76,,Gurunay 777#1568
0xc04169DBc6317422b118b729D0E72D5F60016B05,,smolbrain#0069
0x038D9582eB7A84b7b09351E11742323222880c3e,,ckyoung~#2299
0x351AFD0681282aD0f9eF609aCFA1Ec2418082036,,Spacer#4167
0x5b315F648c1e37Ebf96683Ddb8308d1Cc1b9ea43,,eps#2781
0x9B51F735d58D6FfeaaEC31ed5b5D0Ad881db6204,,VegasGuy#3194
0xFB4e6F5F0ec726e540E58F2dE9F386984f554757,,shoreline666#8989
0x4CF46c29352A0F98BcF4507c8Ac3604F0336977B,,Gil#8983
0xd08A0E5c4faf114880A732C1E951D8fE56839118,,RichardHu-SG#3556
0xbC9A3E076BB438838566900f60805444E0b9bd7e,,BOOOOOOOOOOOMMMMMMMMMMMMMMMMMMMM#5278
0x57825aefC6231b3d9ae7CF2b4773d5E841084645,,awinpro#0533
0x657c26907Eda822D7e09111630d4c0De9d232142,,hiimclemon#4926
0xDD761DfE9a0a3aB33Fe07F7940d049FD24f68952,,queenft#7262
